Region,Total,Urban,Rural
        Chitipa,178904,14753,164151
        Karonga,269890,40334,229556
        Nkhata Bay,215789,11269,204520
        Rumphi,172034,17845,154189
        Mzimba,727931,20994,706937
        Likoma,10414,1352,9062
        Mzuzu City,133968,133968,0
        Kasungu,627467,39640,587827
        Nkhotakota,303659,24726,278933
        Ntchisi,224872,7918,216954
        Dowa,558470,4765,553705
        Salima,337895,27852,310043
        Lilongwe,1230834,0,1230834
        Lilongwe City,674448,674448,0
        Mchinji,456516,17881,438635
        Dedza,624445,20241,604204
        Ntcheu,471589,14642,456947
        Mangochi,797061,50821,746240
        Machinga,490579,24147,466432
        Zomba,579639,0,579639
        Zomba City,88314,88314,0
        Chiradzulu,288546,2348,286198
        Blantyre,340728,0,340728
        Blantyre City,661256,661256,0
        Mwanza,92947,14226,78721
        Thyolo,587053,18589,568464
        Mulanje,521391,14497,506894
        Phalombe,313129,4935,308194
        Chikwawa,434648,6987,427661
        Nsanje,238103,20179,217924
        Balaka,317324,22733,294591
        Neno,107317,1649,105668